iso,date,c1,c2,c3,c4,c5,c6,cb
600,2014.05.31,5,12,17,29,34,35,27
598,2014.05.17,8,10,23,24,35,43,37
596,2014.05.03,8,24,28,35,38,40,5
594,2014.04.19,9,10,13,24,33,38,28
592,2014.04.05,8,13,14,30,38,39,5
590,2014.03.22,6,8,28,33,38,39,22
588,2014.03.08,14,21,29,31,32,37,17
586,2014.02.22,6,7,10,16,38,41,4
584,2014.02.08,8,17,27,33,40,44,24
582,2014.01.25,3,5,14,20,42,44,33
580,2014.01.11,5,7,20,22,37,42,39
578,2013.12.28,16,17,22,31,34,37,33
576,2013.12.14,2,8,20,30,33,34,6
574,2013.11.30,2,4,20,34,35,43,14
572,2013.11.16,11,18,21,26,38,43,29
570,2013.11.02,3,6,13,23,24,35,1
568,2013.10.19,1,10,15,16,32,41,28
566,2013.10.05,4,10,18,27,40,45,38
564,2013.09.21,5,10,16,17,31,32,21
562,2013.09.07,5,7,18,37,42,45,20
560,2013.08.24,11,12,25,32,44,45,23
558,2013.08.10,4,20,26,28,35,40,31
556,2013.07.27,11,17,21,24,26,36,12
554,2013.07.13,2,7,17,28,29,39,37
552,2013.06.29,3,6,20,24,27,44,25
550,2013.06.15,29,31,35,38,40,44,17
548,2013.06.01,6,7,15,22,34,39,28
546,2013.05.18,4,24,25,27,34,35,2
544,2013.05.04,13,18,26,31,34,44,12
542,2013.04.20,8,13,26,28,32,34,43
540,2013.04.06,3,19,22,31,42,43,26
538,2013.03.23,12,23,26,30,36,43,11
536,2013.03.09,11,12,14,15,18,39,34
534,2013.02.23,9,14,15,17,31,33,23
532,2013.02.09,1,5,9,21,27,35,45
530,2013.01.26,18,20,24,27,31,42,39
528,2013.01.12,1,12,22,32,33,42,38
526,2012.12.29,11,23,26,29,39,44,22
524,2012.12.15,1,4,37,38,40,45,7
522,2012.12.01,3,7,18,29,32,36,19
520,2012.11.17,6,8,13,16,30,43,3
518,2012.11.03,1,9,12,28,36,41,10
516,2012.10.20,2,11,12,15,23,37,8
514,2012.10.06,5,8,21,23,27,33,12
512,2012.09.22,3,7,14,23,26,42,24
510,2012.09.08,12,25,29,35,42,43,24
508,2012.08.25,12,13,32,33,40,41,4
506,2012.08.11,7,20,22,25,38,40,44
504,2012.07.28,1,5,27,30,34,36,40
502,2012.07.14,1,4,10,17,31,42,2
500,2012.06.30,5,20,23,27,35,40,43
498,2012.06.16,19,20,23,24,43,44,13
496,2012.06.02,4,13,22,27,34,44,6
494,2012.05.19,20,22,26,33,36,37,25
492,2012.05.05,8,17,35,36,39,42,4
490,2012.04.21,2,4,8,15,20,27,11
488,2012.04.07,4,8,25,27,37,41,21
486,2012.03.24,17,22,26,27,36,39,20
484,2012.03.10,12,15,19,22,28,34,5
482,2012.02.25,3,4,23,29,40,41,20
480,2012.02.11,8,23,25,27,35,44,24
478,2012.01.28,14,25,29,32,33,45,37
476,2012.01.14,1,9,14,16,21,29,3
474,2011.12.31,8,13,20,22,23,36,34
472,2011.12.17,6,13,29,37,39,41,43
470,2011.12.03,4,21,22,34,37,38,33
468,2011.11.19,2,12,14,17,24,40,39
466,2011.11.05,1,8,11,13,22,38,31
464,2011.10.22,3,20,24,32,37,45,4
